company_code,level4_key,pbi_rows,synapse_rows,row_diff,pbi_actual,synapse_actual,actual_diff,pbi_budget,synapse_budget,budget_diff
EA37,KS00/24014280,0,3,-3,0,1623265.28,-1623265.28,0,0,0
EA18,KS00/24014290,0,1,-1,0,210344.04,-210344.04,0,0,0
EA37,KS00/24014285,0,2,-2,0,189006.46,-189006.46,0,0,0
EA37,KS00/24014281,0,5,-5,0,-10572.27,10572.27,0,0,0
EA37,KS00/24014282,0,5,-5,0,-1413.81,1413.81,0,0,0
EA18,KS00/24014291,0,3,-3,0,0,0,0,0,0
EA37,KS00/24014286,0,3,-3,0,0,0,0,0,0
EA18,KS00/24014292,0,1,-1,0,0,0,0,0,0
